"id","code","name"
"giro_000001","","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA"
"giro_000002","","PRODUCCIÓN AGRÍCOLA, PECUARIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
"giro_000003","1111","Cultivo de cereales excepto arroz y para forrajes"
"giro_000004","1112","Cultivo de legumbres"
"giro_000005","1113","Cultivo de semillas oleaginosas"
"giro_000006","1114","Cultivo de plantas para la preparación de semillas"
"giro_000007","1119","Cultivo de otros cereales excepto arroz y forrajeros n.c.p."
"giro_000008","1120","Cultivo de arroz"
"giro_000009","1131","Cultivo de raíces y tubérculos"
"giro_000010","1132","Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares"
"giro_000011","1133","Cultivo hortícola de fruto"
"giro_000012","1134","Cultivo de hortalizas de hoja y otras hortalizas ncp"
"giro_000013","1140","Cultivo de caña de azúcar"
"giro_000014","1150","Cultivo de tabaco"
"giro_000015","1161","Cultivo de algodón"
"giro_000016","1162","Cultivo de fibras vegetales excepto algodón"
"giro_000017","1191","Cultivo de plantas no perennes para la producción de semillas y flores"
"giro_000018","1192","Cultivo de cereales y pastos para la alimentación animal"
"giro_000019","1199","Producción de cultivos no estacionales ncp"
"giro_000020","1220","Cultivo de frutas tropicales"
"giro_000021","1230","Cultivo de cítricos"
"giro_000022","1240","Cultivo de frutas de pepita y hueso"
"giro_000023","1251","Cultivo de frutas ncp"
"giro_000024","1252","Cultivo de otros frutos y nueces de árboles y arbustos"
"giro_000025","1260","Cultivo de frutos oleaginosos"
"giro_000026","1271","Cultivo de café"
"giro_000027","1272","Cultivo de plantas para la elaboración de bebidas excepto café"
"giro_000028","1281","Cultivo de especias y aromáticas"
"giro_000029","1282","Cultivo de plantas para la obtención de productos medicinales y farmacéuticos"
"giro_000030","1291","Cultivo de árboles de hule (caucho) para la obtención de látex"
"giro_000031","1292","Cultivo de plantas para la obtención de productos químicos y colorantes"
"giro_000032","1299","Producción de cultivos perennes ncp"
"giro_000033","1300","Propagación de plantas"
"giro_000034","1301","Cultivo de plantas y flores ornamentales"
"giro_000035","1410","Cría y engorde de ganado bovino"
"giro_000036","1420","Cría de caballos y otros equinos"
"giro_000037","1440","Cría de ovejas y cabras"
"giro_000038","1450","Cría de cerdos"
"giro_000039","1460","Cría de aves de corral y producción de huevos"
"giro_000040","1491","Cría de abejas apicultura para la obtención de miel y otros productos apícolas"
"giro_000041","1492","Cría de conejos"
"giro_000042","1493","Cría de iguanas y garrobos"
"giro_000043","1494","Cría de mariposas y otros insectos"
"giro_000044","1499","Cría y obtención de productos animales n.c.p."
"giro_000045","1500","Cultivo de productos agrícolas en combinación con la cría de animales"
"giro_000046","1611","Servicios de maquinaria agrícola"
"giro_000047","1612","Control de plagas"
"giro_000048","1613","Servicios de riego"
"giro_000049","1614","Servicios de contratación de mano de obra para la agricultura"
"giro_000050","1619","Servicios agrícolas ncp"
"giro_000051","1621","Actividades para mejorar la reproducción, el crecimiento y el rendimiento de los animales y sus productos"
"giro_000052","1622","Servicios de mano de obra pecuaria"
"giro_000053","1629","Servicios pecuarios ncp"
"giro_000054","1631","Labores post cosecha de preparación de los productos agrícolas para su comercialización o para la industria"
"giro_000055","1632","Servicio de beneficio de café"
"giro_000056","1633","Servicio de beneficiado de plantas textiles (incluye el beneficiado cuando este es realizado en la misma explotación agropecuaria)"
"giro_000057","1640","Tratamiento de semillas para la propagación"
"giro_000058","1700","Caza ordinaria y mediante trampas, repoblación de animales de caza y servicios conexos"
"giro_000059","","SILVICULTURA Y EXTRACCIÓN DE MADERA"
"giro_000060","2100","Silvicultura y otras actividades forestales"
"giro_000061","2200","Extracción de madera"
"giro_000062","2300","Recolección de productos diferentes a la madera"
"giro_000063","2400","Servicios de apoyo a la silvicultura"
"giro_000064","","PESCA Y ACUICULTURA"
"giro_000065","3110","Pesca marítima de altura y costera"
"giro_000066","3120","Pesca de agua dulce"
"giro_000067","3210","Acuicultura marítima"
"giro_000068","3220","Acuicultura de agua dulce"
"giro_000069","3300","Servicios de apoyo a la pesca y acuicultura"
"giro_000070","","EXPLOTACIÓN DE MINAS Y CANTERAS"
"giro_000071","","EXTRACCIÓN CARBÓN DE PIEDRA Y LIGNITO"
"giro_000072","5100","Extracción de hulla"
"giro_000073","5200","Extracción y aglomeración de lignito"
"giro_000074","","EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL"
"giro_000075","6100","Extracción de petróleo crudo"
"giro_000076","6200","Extracción de gas natural"
"giro_000077","","EXTRACCIÓN DE MINERALES METALÍFEROS"
"giro_000078","7100","Extracción de minerales de hierro"
"giro_000079","7210","Extracción de minerales de uranio y torio"
"giro_000080","7290","Extracción de minerales metalíferos no ferrosos"
"giro_000081","","EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS"
"giro_000082","8100","Extracción de piedra, arena y arcilla"
"giro_000083","8910","Extracción de minerales para la fabricación de abonos y productos químicos"
"giro_000084","8920","Extracción y aglomeración de turba"
"giro_000085","8930","Extracción de sal"
"giro_000086","8990","Explotación de otras minas y canteras ncp"
"giro_000087","","ACTIVIDADES DE SERVICIOS DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS"
"giro_000088","9100","Actividades de apoyo a la extracción de petróleo y gas natural"
"giro_000089","9900","Actividades de apoyo a la explotación de minas y canteras"
